track_id,genre_top,filepath
2,Hip-Hop,fma_small/000/000002.mp3
5,Hip-Hop,fma_small/000/000005.mp3
10,Pop,fma_small/000/000010.mp3
140,Folk,fma_small/000/000140.mp3
141,Folk,fma_small/000/000141.mp3
148,Experimental,fma_small/000/000148.mp3
182,Rock,fma_small/000/000182.mp3
190,Folk,fma_small/000/000190.mp3
193,Folk,fma_small/000/000193.mp3
194,Folk,fma_small/000/000194.mp3
197,Folk,fma_small/000/000197.mp3
200,Folk,fma_small/000/000200.mp3
203,Folk,fma_small/000/000203.mp3
204,Folk,fma_small/000/000204.mp3
207,Folk,fma_small/000/000207.mp3
210,Folk,fma_small/000/000210.mp3
211,Folk,fma_small/000/000211.mp3
212,Folk,fma_small/000/000212.mp3
213,Pop,fma_small/000/000213.mp3
255,Rock,fma_small/000/000255.mp3
256,Rock,fma_small/000/000256.mp3
368,Rock,fma_small/000/000368.mp3
424,Experimental,fma_small/000/000424.mp3
459,Rock,fma_small/000/000459.mp3
534,Folk,fma_small/000/000534.mp3
540,Folk,fma_small/000/000540.mp3
546,Folk,fma_small/000/000546.mp3
574,Rock,fma_small/000/000574.mp3
602,Folk,fma_small/000/000602.mp3
615,Experimental,fma_small/000/000615.mp3
620,Folk,fma_small/000/000620.mp3
621,Folk,fma_small/000/000621.mp3
625,Folk,fma_small/000/000625.mp3
666,International,fma_small/000/000666.mp3
667,International,fma_small/000/000667.mp3
676,Hip-Hop,fma_small/000/000676.mp3
690,Rock,fma_small/000/000690.mp3
694,Hip-Hop,fma_small/000/000694.mp3
695,Hip-Hop,fma_small/000/000695.mp3
704,International,fma_small/000/000704.mp3
705,International,fma_small/000/000705.mp3
706,International,fma_small/000/000706.mp3
707,International,fma_small/000/000707.mp3
708,International,fma_small/000/000708.mp3
709,International,fma_small/000/000709.mp3
714,Folk,fma_small/000/000714.mp3
715,Folk,fma_small/000/000715.mp3
716,Folk,fma_small/000/000716.mp3
718,Folk,fma_small/000/000718.mp3
777,Rock,fma_small/000/000777.mp3
814,Folk,fma_small/000/000814.mp3
821,Pop,fma_small/000/000821.mp3
822,Pop,fma_small/000/000822.mp3
825,Rock,fma_small/000/000825.mp3
853,International,fma_small/000/000853.mp3
890,Folk,fma_small/000/000890.mp3
892,Folk,fma_small/000/000892.mp3
897,Experimental,fma_small/000/000897.mp3
993,Rock,fma_small/000/000993.mp3
995,Experimental,fma_small/000/000995.mp3
997,Experimental,fma_small/000/000997.mp3
998,Experimental,fma_small/000/000998.mp3
1039,Rock,fma_small/001/001039.mp3
1040,Rock,fma_small/001/001040.mp3
1066,Experimental,fma_small/001/001066.mp3
1069,Experimental,fma_small/001/001069.mp3
1073,Experimental,fma_small/001/001073.mp3
1075,Experimental,fma_small/001/001075.mp3
1082,International,fma_small/001/001082.mp3
1083,Experimental,fma_small/001/001083.mp3
1087,Rock,fma_small/001/001087.mp3
1102,Rock,fma_small/001/001102.mp3
1193,Folk,fma_small/001/001193.mp3
1195,Folk,fma_small/001/001195.mp3
1196,Folk,fma_small/001/001196.mp3
1197,Folk,fma_small/001/001197.mp3
1249,Experimental,fma_small/001/001249.mp3
1259,Experimental,fma_small/001/001259.mp3
1270,Rock,fma_small/001/001270.mp3
1276,Experimental,fma_small/001/001276.mp3
1277,Experimental,fma_small/001/001277.mp3
1278,Experimental,fma_small/001/001278.mp3
1417,Rock,fma_small/001/001417.mp3
1427,Rock,fma_small/001/001427.mp3
1443,Experimental,fma_small/001/001443.mp3
1482,Electronic,fma_small/001/001482.mp3
1510,Experimental,fma_small/001/001510.mp3
1544,Folk,fma_small/001/001544.mp3
1642,Pop,fma_small/001/001642.mp3
1644,Pop,fma_small/001/001644.mp3
1649,Pop,fma_small/001/001649.mp3
1661,Pop,fma_small/001/001661.mp3
1663,Pop,fma_small/001/001663.mp3
1666,Pop,fma_small/001/001666.mp3
1673,Experimental,fma_small/001/001673.mp3
1680,International,fma_small/001/001680.mp3
1681,International,fma_small/001/001681.mp3
1682,International,fma_small/001/001682.mp3
1683,International,fma_small/001/001683.mp3
1684,International,fma_small/001/001684.mp3
1685,International,fma_small/001/001685.mp3
1686,International,fma_small/001/001686.mp3
1687,International,fma_small/001/001687.mp3
1688,International,fma_small/001/001688.mp3
1689,International,fma_small/001/001689.mp3
1701,Folk,fma_small/001/001701.mp3
1702,Folk,fma_small/001/001702.mp3
1703,Folk,fma_small/001/001703.mp3
1704,Folk,fma_small/001/001704.mp3
1706,Rock,fma_small/001/001706.mp3
1720,Rock,fma_small/001/001720.mp3
1732,Experimental,fma_small/001/001732.mp3
1733,Experimental,fma_small/001/001733.mp3
1735,Experimental,fma_small/001/001735.mp3
1736,Experimental,fma_small/001/001736.mp3
1883,Rock,fma_small/001/001883.mp3
1891,Rock,fma_small/001/001891.mp3
1893,Folk,fma_small/001/001893.mp3
1924,Folk,fma_small/001/001924.mp3
1925,Folk,fma_small/001/001925.mp3
1929,Experimental,fma_small/001/001929.mp3
1930,Rock,fma_small/001/001930.mp3
2012,Experimental,fma_small/002/002012.mp3
2096,Experimental,fma_small/002/002096.mp3
2097,Folk,fma_small/002/002097.mp3
2099,Pop,fma_small/002/002099.mp3
3263,Folk,fma_small/003/003263.mp3
3264,Folk,fma_small/003/003264.mp3
3265,Folk,fma_small/003/003265.mp3
3266,Folk,fma_small/003/003266.mp3
3270,Folk,fma_small/003/003270.mp3
3271,Folk,fma_small/003/003271.mp3
3272,Folk,fma_small/003/003272.mp3
3273,Folk,fma_small/003/003273.mp3
3274,Folk,fma_small/003/003274.mp3
3492,Rock,fma_small/003/003492.mp3
3532,Pop,fma_small/003/003532.mp3
3533,Pop,fma_small/003/003533.mp3
3534,Pop,fma_small/003/003534.mp3
3535,Pop,fma_small/003/003535.mp3
3537,Pop,fma_small/003/003537.mp3
3538,Pop,fma_small/003/003538.mp3
3573,Electronic,fma_small/003/003573.mp3
3598,Folk,fma_small/003/003598.mp3
3624,Rock,fma_small/003/003624.mp3
3707,Folk,fma_small/003/003707.mp3
3708,Folk,fma_small/003/003708.mp3
3720,Rock,fma_small/003/003720.mp3
3721,Rock,fma_small/003/003721.mp3
3722,Rock,fma_small/003/003722.mp3
3724,Rock,fma_small/003/003724.mp3
3725,Rock,fma_small/003/003725.mp3
3761,Rock,fma_small/003/003761.mp3
3762,Rock,fma_small/003/003762.mp3
3763,Rock,fma_small/003/003763.mp3
3765,Rock,fma_small/003/003765.mp3
3766,Rock,fma_small/003/003766.mp3
3775,International,fma_small/003/003775.mp3
3776,International,fma_small/003/003776.mp3
3777,International,fma_small/003/003777.mp3
3778,International,fma_small/003/003778.mp3
3779,International,fma_small/003/003779.mp3
3832,Folk,fma_small/003/003832.mp3
3833,Rock,fma_small/003/003833.mp3
3840,Rock,fma_small/003/003840.mp3
3880,Folk,fma_small/003/003880.mp3
3895,International,fma_small/003/003895.mp3
3896,International,fma_small/003/003896.mp3
3904,Folk,fma_small/003/003904.mp3
3905,Folk,fma_small/003/003905.mp3
3906,Folk,fma_small/003/003906.mp3
3908,Folk,fma_small/003/003908.mp3
3909,Folk,fma_small/003/003909.mp3
3910,Folk,fma_small/003/003910.mp3
3911,Folk,fma_small/003/003911.mp3
3912,Folk,fma_small/003/003912.mp3
3913,Folk,fma_small/003/003913.mp3
3920,Folk,fma_small/003/003920.mp3
3921,Folk,fma_small/003/003921.mp3
3950,Rock,fma_small/003/003950.mp3
4013,Folk,fma_small/004/004013.mp3
4017,Folk,fma_small/004/004017.mp3
4022,Rock,fma_small/004/004022.mp3
4037,Folk,fma_small/004/004037.mp3
4066,Folk,fma_small/004/004066.mp3
4067,Folk,fma_small/004/004067.mp3
4068,Folk,fma_small/004/004068.mp3
4069,Folk,fma_small/004/004069.mp3
4070,International,fma_small/004/004070.mp3
4071,International,fma_small/004/004071.mp3
4072,International,fma_small/004/004072.mp3
4073,International,fma_small/004/004073.mp3
4074,International,fma_small/004/004074.mp3
4075,International,fma_small/004/004075.mp3
4076,International,fma_small/004/004076.mp3
4077,International,fma_small/004/004077.mp3
4078,International,fma_small/004/004078.mp3
4079,International,fma_small/004/004079.mp3
4080,International,fma_small/004/004080.mp3
4091,International,fma_small/004/004091.mp3
4092,International,fma_small/004/004092.mp3
4093,International,fma_small/004/004093.mp3
4094,International,fma_small/004/004094.mp3
4095,International,fma_small/004/004095.mp3
4096,International,fma_small/004/004096.mp3
4097,International,fma_small/004/004097.mp3
4098,International,fma_small/004/004098.mp3
